"=""User Id""","=""Username""","=""Comment Id""","=""Comment Text""","=""Profile URL""","=""Profile Pic URL""","=""Date"""
"=""1320105568""","=""zippysaintthomas""","=""18282272308042196""","=""@lykiiiish""","=""https://www.instagram.com/zippysaintthomas""","=""https://scontent-hkt1-2.cdninstagram.com/v/t51.2885-19/275425219_655603302322252_1948724155889043888_n.jpg""","=""24/02/2022, 10:26:19"""
"=""4130140002""","=""lykiiiish""","=""17918151413147607""","=""@zippysaintthomas ❤️❤️❤️❤️""","=""https://www.instagram.com/lykiiiish""","=""https://scontent-hkt1-1.cdninstagram.com/v/t51.2885-19/274187450_710177103685042_3748252149580853162_n.jpg""","=""24/02/2022, 10:31:13"""
"=""4130140002""","=""lykiiiish""","=""18008239633389058""","=""@zippysaintthomas ❤️❤️❤️❤️""","=""https://www.instagram.com/lykiiiish""","=""https://scontent-hkt1-1.cdninstagram.com/v/t51.2885-19/274187450_710177103685042_3748252149580853162_n.jpg""","=""24/02/2022, 11:15:40"""
"=""3486270325""","=""melanierempel""","=""17921601644238071""","=""Thank you! I needed to hear this.""","=""https://www.instagram.com/melanierempel""","=""https://scontent-hkt1-1.cdninstagram.com/v/t51.2885-19/13532064_1630765697237036_1390241428_a.jpg""","=""24/02/2022, 12:06:49"""
"=""49454934741""","=""earthtojinsmoon""","=""18001841161405204""","=""@rogueavocado24 <3""","=""https://www.instagram.com/earthtojinsmoon""","=""https://scontent-hkt1-1.cdninstagram.com/v/t51.2885-19/265687793_954574242146701_6726927519599834659_n.jpg""","=""24/02/2022, 12:09:40"""
"=""228095590""","=""mlmerrick""","=""18040949245321279""","=""Thank you. I needed these.""","=""https://www.instagram.com/mlmerrick""","=""https://scontent-hkt1-1.cdninstagram.com/v/t51.2885-19/275485968_298218329072930_3210205845891046837_n.jpg""","=""24/02/2022, 12:30:03"""
"=""6951321617""","=""67rakesh""","=""17933087522001692""","=""@preethi.ramyan 😍""","=""https://www.instagram.com/67rakesh""","=""https://scontent-hkt1-2.cdninstagram.com/v/t51.2885-19/135609731_681454449148938_1807133645257926572_n.jpg""","=""24/02/2022, 15:13:33"""
"=""31060967604""","=""hughes_poetry""","=""17923131086186990""","=""“Too many smiles left in you to be so sad.” Love it!""","=""https://www.instagram.com/hughes_poetry""","=""https://scontent-hkt1-2.cdninstagram.com/v/t51.2885-19/101562224_300031474338281_422191346711789568_n.jpg""","=""24/02/2022, 16:04:48"""
"=""646837988""","=""tinixbieni""","=""17921099384108351""","=""beautifully written ❤️ touched my soul""","=""https://www.instagram.com/tinixbieni""","=""https://scontent-hkt1-2.cdninstagram.com/v/t51.2885-19/274263180_492582602425203_5835148812797843566_n.jpg""","=""24/02/2022, 17:41:27"""
"=""2267531522""","=""dancess444""","=""17870820929656031""","=""@stephanies007 @missmiranda07 @_alejandra_vz @lovable_8""","=""https://www.instagram.com/dancess444""","=""https://scontent-hkt1-2.cdninstagram.com/v/t51.2885-19/273826482_630095021556024_8150373868641794095_n.jpg""","=""24/02/2022, 17:54:12"""
"=""2267531522""","=""dancess444""","=""17931528406912579""","=""@nicoleelizabeth82""","=""https://www.instagram.com/dancess444""","=""https://scontent-hkt1-2.cdninstagram.com/v/t51.2885-19/273826482_630095021556024_8150373868641794095_n.jpg""","=""24/02/2022, 17:55:54"""
"=""5871085964""","=""bodyfullnessorg""","=""17868222872664659""","=""❤️""","=""https://www.instagram.com/bodyfullnessorg""","=""https://scontent-hkt1-2.cdninstagram.com/v/t51.2885-19/20688450_1288723064587025_8159835939913334784_a.jpg""","=""24/02/2022, 21:50:02"""
"=""1419417987""","=""jgc_dtd""","=""18008119168385975""","=""@shellnuge""","=""https://www.instagram.com/jgc_dtd""","=""https://scontent-hkt1-1.cdninstagram.com/v/t51.2885-19/210208126_1348089288918083_563536731875631435_n.jpg""","=""24/02/2022, 21:52:58"""
"=""29621391922""","=""leechavercueil""","=""18271605871064199""","=""Thank you ❤️""","=""https://www.instagram.com/leechavercueil""","=""https://scontent-hkt1-1.cdninstagram.com/v/t51.2885-19/275102396_988902231720131_9153663791590958781_n.jpg""","=""24/02/2022, 22:19:25"""
"=""26302172117""","=""poeticsoul3196""","=""18284000092056459""","=""🌹♥️🌹""","=""https://www.instagram.com/poeticsoul3196""","=""https://scontent-hkt1-1.cdninstagram.com/v/t51.2885-19/96539313_944509592669518_2366364720526524416_n.jpg""","=""24/02/2022, 22:38:16"""
"=""3035462358""","=""bakingbookworm09""","=""18280570198015547""","=""@a.a.v.i.89""","=""https://www.instagram.com/bakingbookworm09""","=""https://scontent-hkt1-1.cdninstagram.com/v/t51.2885-19/12816955_1548385575454619_572900854_a.jpg""","=""24/02/2022, 23:22:34"""
"=""3563852675""","=""mmirandabrahamm""","=""17903614847378282""","=""Love, love ,love each one of these.🤗😍""","=""https://www.instagram.com/mmirandabrahamm""","=""https://scontent-hkt1-1.cdninstagram.com/v/t51.2885-19/184577700_277554707398331_4963725660746519808_n.jpg""","=""24/02/2022, 23:44:43"""
"=""3315825701""","=""corvaya""","=""17913204767362288""","=""🔥❤️""","=""https://www.instagram.com/corvaya""","=""https://scontent-hkt1-2.cdninstagram.com/v/t51.2885-19/274231520_150794914037357_593541341641725575_n.jpg""","=""25/02/2022, 00:39:11"""
"=""9071382889""","=""suraeusmoon""","=""17938147855902958""","=""All of it. Thank you. Your words and meaning are priceless to me..❤️🔥👏""","=""https://www.instagram.com/suraeusmoon""","=""https://instagram.fbwn1-1.fna.fbcdn.net/v/t51.2885-19/44884218_345707102882519_2446069589734326272_n.jpg""","=""25/02/2022, 00:49:07"""
"=""8761515888""","=""ncl_nn_gnd""","=""18203117293180816""","=""@missgelaa_""","=""https://www.instagram.com/ncl_nn_gnd""","=""https://scontent-hkt1-1.cdninstagram.com/v/t51.2885-19/272939557_1124516115019597_1927951069528447871_n.jpg""","=""25/02/2022, 00:50:52"""
"=""324550071""","=""kacy_bird17""","=""17895053456580676""","=""Such beautiful words of hope and love ❤️❤️❤️""","=""https://www.instagram.com/kacy_bird17""","=""https://scontent-hkt1-1.cdninstagram.com/v/t51.2885-19/271586942_3140594689545455_945514939913116460_n.jpg""","=""25/02/2022, 03:15:00"""
"=""1685206515""","=""tasteof_ambrosia""","=""17952237805712254""","=""Needed it. Thank you.""","=""https://www.instagram.com/tasteof_ambrosia""","=""https://scontent-hkt1-1.cdninstagram.com/v/t51.2885-19/268092928_116696377365470_458409683760109745_n.jpg""","=""25/02/2022, 06:03:36"""
"=""2290733650""","=""al3xyxela""","=""17961476401581956""","=""@sugarbaby__1511""","=""https://www.instagram.com/al3xyxela""","=""https://scontent-hkt1-2.cdninstagram.com/v/t51.2885-19/254288213_440764517479504_2753115785272678590_n.jpg""","=""25/02/2022, 08:51:43"""
"=""44665210555""","=""poetrydata""","=""17883459416621878""","=""❤️ @poetrydata""","=""https://www.instagram.com/poetrydata""","=""https://scontent-hkt1-1.cdninstagram.com/v/t51.2885-19/274096270_476865147214897_5810135231911076661_n.jpg""","=""25/02/2022, 11:15:35"""
