"=""User Id""","=""Username""","=""Comment Id""","=""Comment Text""","=""Profile URL""","=""Profile Pic URL""","=""Date"""
"=""286490948""","=""mcluv__""","=""17904699683348653""","=""❤️🙌💯🙏🏼👏🏼👏🏼👏🏼🔥 thank you for sharing XOXOz blessings 💕""","=""https://www.instagram.com/mcluv__""","=""https://scontent-hkt1-1.cdninstagram.com/v/t51.2885-19/144945231_108923027874536_5240847324174969341_n.jpg""","=""27/02/2022, 16:52:47"""
"=""16648120186""","=""vizo.m""","=""17922076166193161""","=""Wow! Thank you 🙏❤❤""","=""https://www.instagram.com/vizo.m""","=""https://scontent-hkt1-1.cdninstagram.com/v/t51.2885-19/121499577_663062157678073_1887796971441622017_n.jpg""","=""27/02/2022, 17:28:31"""
"=""8736367792""","=""shubailyhrehman""","=""18283075534036653""","=""Absolutely beautiful 🌹""","=""https://www.instagram.com/shubailyhrehman""","=""https://scontent-hkt1-2.cdninstagram.com/v/t51.2885-19/262232534_306265331193999_3656771269526058131_n.jpg""","=""27/02/2022, 19:08:19"""
"=""2247204622""","=""deepika4275""","=""17931092354068860""","=""❤️""","=""https://www.instagram.com/deepika4275""","=""https://scontent-hkt1-2.cdninstagram.com/v/t51.2885-19/273555727_485156552990717_8657824607073681840_n.jpg""","=""27/02/2022, 19:41:00"""
"=""2178507883""","=""iampoojanaresh""","=""17940531946788561""","=""Your words are the things parents need to tell their children. We need to stop normalizing pain and getting back up. It needs to be celebrated and not normally expected out of everybody. Your words are validating and that heals. Amazing 🙏""","=""https://www.instagram.com/iampoojanaresh""","=""https://scontent-hkt1-2.cdninstagram.com/v/t51.2885-19/206649763_274679087784784_8891944662101854176_n.jpg""","=""27/02/2022, 20:35:54"""
"=""4662172925""","=""tharthari_k""","=""18283290502057769""","=""A beautiful reminder 🙌thank you❤️❤️☺️""","=""https://www.instagram.com/tharthari_k""","=""https://scontent-hkt1-1.cdninstagram.com/v/t51.2885-19/274951101_1298386590672106_7139678665746642559_n.jpg""","=""27/02/2022, 21:18:55"""
"=""6679012278""","=""supercutemar""","=""17966354245555145""","=""@alpraz0lvm_ ❤️❤️❤️""","=""https://www.instagram.com/supercutemar""","=""https://scontent-hkt1-2.cdninstagram.com/v/t51.2885-19/277855240_417261946756815_4730856048735279827_n.jpg""","=""27/02/2022, 21:25:54"""
"=""41838015956""","=""lil2300_""","=""17882400449624007""","=""❤️💯‼️🎯😇""","=""https://www.instagram.com/lil2300_""","=""https://scontent-hkt1-2.cdninstagram.com/v/t51.2885-19/218456930_114619647555060_802770767540481330_n.jpg""","=""27/02/2022, 21:33:53"""
"=""228783162""","=""refocused53""","=""17962000669549174""","=""Thank you 😊 I needed that""","=""https://www.instagram.com/refocused53""","=""https://scontent-hkt1-2.cdninstagram.com/v/t51.2885-19/274481131_1640040083033046_2685735718357855668_n.jpg""","=""27/02/2022, 21:53:38"""
"=""18378704384""","=""luvomalife""","=""17871186398659992""","=""THANK YOU NAJWA WE NEED TO TALK ABOUT THIS MORE. HOW BEAUTIFUL AND STRONG ARE PEOPLE WHO ARE TRAUMATIZED WHO ARE STILL GOOD HEARTED PEOPLE. ❤️""","=""https://www.instagram.com/luvomalife""","=""https://scontent-hkt1-2.cdninstagram.com/v/t51.2885-19/272235286_275780917818648_6185315875418477625_n.jpg""","=""27/02/2022, 21:55:30"""
"=""922246115""","=""agabes_""","=""18081814066291761""","=""@stephi09 ❤️""","=""https://www.instagram.com/agabes_""","=""https://scontent-hkt1-2.cdninstagram.com/v/t51.2885-19/274357098_2066392383538264_7475921585505900034_n.jpg""","=""27/02/2022, 22:43:14"""
