"=""User Id""","=""Username""","=""Comment Id""","=""Comment Text""","=""Profile URL""","=""Profile Pic URL""","=""Date"""
"=""198329514""","=""rairesu111""","=""18152627998226283""","=""🙌❤️❤️🙌""","=""https://www.instagram.com/rairesu111""","=""https://scontent-hkt1-2.cdninstagram.com/v/t51.2885-19/262202799_2076376275844792_8936702189041012653_n.jpg""","=""01/02/2022, 06:17:23"""
"=""13069051265""","=""agent_bookworm1""","=""17919767078184776""","=""Old soul here. 👋 Nice to know that I am not alone. Thank you for this. ❤️""","=""https://www.instagram.com/agent_bookworm1""","=""https://scontent-hkt1-1.cdninstagram.com/v/t51.2885-19/58410596_587309528341352_1859236955267530752_n.jpg""","=""01/02/2022, 06:23:55"""
"=""49364544274""","=""felicityfayrfaye""","=""18023449069349270""","=""Beautiful ❤️""","=""https://www.instagram.com/felicityfayrfaye""","=""https://scontent-hkt1-1.cdninstagram.com/v/t51.2885-19/241673798_3144115859144569_4951708178311713326_n.jpg""","=""01/02/2022, 06:34:10"""
"=""315890837""","=""k.b._family""","=""17947621849706249""","=""❤️""","=""https://www.instagram.com/k.b._family""","=""https://scontent-hkt1-1.cdninstagram.com/v/t51.2885-19/11248213_467594153417780_1728517934_a.jpg""","=""01/02/2022, 08:00:40"""
"=""46094159648""","=""business__marketing__""","=""17941236439835454""","=""hey I have a question check your inbox 
. 
where are you based ❤️""","=""https://www.instagram.com/business__marketing__""","=""https://scontent-hkt1-1.cdninstagram.com/v/t51.2885-19/272221193_993972084579621_1072097466455077315_n.jpg""","=""01/02/2022, 08:26:24"""
"=""206135899""","=""lizrgzs""","=""18152026702228404""","=""❤️❤️❤️❤️ I love it""","=""https://www.instagram.com/lizrgzs""","=""https://scontent-hkt1-1.cdninstagram.com/v/t51.2885-19/118395757_984829068701060_4468796616827913671_n.jpg""","=""01/02/2022, 09:32:33"""
"=""8473812686""","=""mrya.sllvm""","=""17913666428183503""","=""Beautiful!""","=""https://www.instagram.com/mrya.sllvm""","=""https://scontent-hkt1-1.cdninstagram.com/v/t51.2885-19/277324258_392302386059975_4523915336938983962_n.jpg""","=""01/02/2022, 09:42:02"""
"=""50217309916""","=""poorwahh""","=""17917191389272339""","=""""""Love"""" to be loved ❤️""","=""https://www.instagram.com/poorwahh""","=""https://scontent-hkt1-1.cdninstagram.com/v/t51.2885-19/265874056_852766688752630_1227890930335564458_n.jpg""","=""01/02/2022, 11:10:55"""
"=""198980569""","=""rockstargirlfriend""","=""18196235620149489""","=""I love this!!! Absolutely beautiful!!!""","=""https://www.instagram.com/rockstargirlfriend""","=""https://scontent-hkt1-1.cdninstagram.com/v/t51.2885-19/33345222_1340022962766458_4165219727012003840_n.jpg""","=""01/02/2022, 11:34:19"""
"=""7139420097""","=""wertimelessph""","=""17932849141975925""","=""lovely! do you have a new book containing this poem? ❤️""","=""https://www.instagram.com/wertimelessph""","=""https://scontent-hkt1-1.cdninstagram.com/v/t51.2885-19/251476058_701396120821617_5994235294283774718_n.jpg""","=""01/02/2022, 12:09:00"""
"=""188962746""","=""ellfen""","=""17931715429953145""","=""Deeply resonating and lovely to my mind the way the thought/concept is told""","=""https://www.instagram.com/ellfen""","=""https://scontent-hkt1-1.cdninstagram.com/v/t51.2885-19/244477452_559045831878622_3921912619572955105_n.jpg""","=""01/02/2022, 12:57:02"""
"=""15776338599""","=""haikuharvey""","=""17920640375071863""","=""👏👏👏🔥🔥🔥🙌""","=""https://www.instagram.com/haikuharvey""","=""https://scontent-hkt1-2.cdninstagram.com/v/t51.2885-19/65871733_447598916081728_1380639760107700224_n.jpg""","=""01/02/2022, 14:12:41"""
"=""49323617710""","=""raiter21""","=""17934759469935411""","=""🤍🤍🤍""","=""https://www.instagram.com/raiter21""","=""https://scontent-hkt1-1.cdninstagram.com/v/t51.2885-19/247027351_572739843782996_2748307436938890734_n.jpg""","=""01/02/2022, 15:06:56"""
"=""8492276740""","=""letsaman""","=""18223956523110742""","=""❤️❤️❤️""","=""https://www.instagram.com/letsaman""","=""https://scontent-hkt1-1.cdninstagram.com/v/t51.2885-19/275733000_4941927702550261_6278107503396095951_n.jpg""","=""01/02/2022, 15:16:56"""
"=""26563098363""","=""star_lord_365""","=""17852727524683714""","=""I love ur work. Especially 90 percent Stardust , Persephone to hades and Persephone girl❤️❤️❤️❤️❤️""","=""https://www.instagram.com/star_lord_365""","=""https://scontent-hkt1-2.cdninstagram.com/v/t51.2885-19/274401998_5001264076583571_5864295242207332022_n.jpg""","=""01/02/2022, 18:05:51"""
"=""22619408932""","=""shakti.ism""","=""18188813056198131""","=""❤️❤️❤️❤️❤️❤️""","=""https://www.instagram.com/shakti.ism""","=""https://scontent-hkt1-1.cdninstagram.com/v/t51.2885-19/101344950_2769227600010277_8665304533763840003_n.jpg""","=""01/02/2022, 18:49:07"""
"=""2076778569""","=""flowerbombzzz_sa""","=""17938735564878412""","=""Love this ❤️❤️❤️❤️❤️""","=""https://www.instagram.com/flowerbombzzz_sa""","=""https://scontent-hkt1-2.cdninstagram.com/v/t51.2885-19/274563022_1389289538207597_8035301302316518663_n.jpg""","=""01/02/2022, 22:56:40"""
"=""1356135072""","=""thunderinhermind""","=""18150291637230125""","=""<3""","=""https://www.instagram.com/thunderinhermind""","=""https://scontent-hkt1-2.cdninstagram.com/v/t51.2885-19/28753539_604318863246252_2980622765582712832_n.jpg""","=""02/02/2022, 00:09:51"""
"=""1066499""","=""amyravery""","=""18218469067140898""","=""Can this poem be found in one of your published books?""","=""https://www.instagram.com/amyravery""","=""https://scontent-hkt1-1.cdninstagram.com/v/t51.2885-19/107844766_294784451888807_7858800518366768780_n.jpg""","=""02/02/2022, 01:20:58"""
"=""50970509609""","=""jimmy_author99""","=""17916389249136475""","=""promote it on @thewordrender""","=""https://www.instagram.com/jimmy_author99""","=""https://scontent-hkt1-1.cdninstagram.com/v/t51.2885-19/271764226_683681066343946_7055365248716593594_n.jpg""","=""02/02/2022, 01:23:44"""
"=""48571306489""","=""s_yu_han""","=""17861416883677799""","=""❤️❤️❤️❤️""","=""https://www.instagram.com/s_yu_han""","=""https://scontent-hkt1-2.cdninstagram.com/v/t51.2885-19/269777123_980577232554711_3145088610550522434_n.jpg""","=""02/02/2022, 01:35:57"""
