"=""User Id""","=""Username""","=""Comment Id""","=""Comment Text""","=""Profile URL""","=""Profile Pic URL""","=""Date"""
"=""534802376""","=""jessikapilkes""","=""18285545860059837""","=""Absolutely beautiful. 🌟""","=""https://www.instagram.com/jessikapilkes""","=""https://scontent-hkt1-1.cdninstagram.com/v/t51.2885-19/67361639_1246885422156935_909624273147002880_n.jpg""","=""23/03/2022, 05:24:04"""
"=""544433853""","=""rebekah_marshall_artist""","=""17937003214993500""","=""Beautiful. Thank you ❤️""","=""https://www.instagram.com/rebekah_marshall_artist""","=""https://scontent-hkt1-1.cdninstagram.com/v/t51.2885-19/273124610_426817079236801_1373746039196677233_n.jpg""","=""23/03/2022, 05:29:43"""
"=""9883590045""","=""jesparent.ai""","=""17956088689713038""","=""Love this one #carlsagan""","=""https://www.instagram.com/jesparent.ai""","=""https://scontent-hkt1-1.cdninstagram.com/v/t51.2885-19/272286423_474817734177466_6508334580520835758_n.jpg""","=""23/03/2022, 05:36:47"""
"=""1785793635""","=""the_maryangelmc""","=""17965402732580505""","=""This is gorgeous! Thank you. I am currently reading your Fierce Fairytales. 💗""","=""https://www.instagram.com/the_maryangelmc""","=""https://scontent-hkt1-1.cdninstagram.com/v/t51.2885-19/275357133_153014807145578_4360057744714543017_n.jpg""","=""23/03/2022, 05:48:41"""
"=""285896101""","=""kim___ritchie""","=""18030518632322770""","=""@jenbeattie8 ❤️""","=""https://www.instagram.com/kim___ritchie""","=""https://scontent-hkt1-1.cdninstagram.com/v/t51.2885-19/273405816_205697628389629_6720807287590923696_n.jpg""","=""23/03/2022, 06:46:39"""
"=""326487830""","=""lilyellieme""","=""17934636343911979""","=""This is so beautiful 😍""","=""https://www.instagram.com/lilyellieme""","=""https://scontent-hkt1-1.cdninstagram.com/v/t51.2885-19/14334828_128210857634517_1522720132_a.jpg""","=""23/03/2022, 06:55:03"""
"=""3986326443""","=""findingkayleet""","=""17970852043543941""","=""❤️love this 💫""","=""https://www.instagram.com/findingkayleet""","=""https://scontent-hkt1-2.cdninstagram.com/v/t51.2885-19/79532604_1014883408874369_3157032667455684608_n.jpg""","=""23/03/2022, 07:01:02"""
"=""782749182""","=""melissadawnmoss""","=""17942552479789259""","=""My ABSOLUTE favorite poem of all time, @nikita_gill ♥️♥️♥️""","=""https://www.instagram.com/melissadawnmoss""","=""https://scontent-hkt1-2.cdninstagram.com/v/t51.2885-19/277114262_719425942561848_712424827244649808_n.jpg""","=""23/03/2022, 07:20:57"""
"=""26728046""","=""_jonathanlynch""","=""17975984113507010""","=""@nikita_gill I have yet to find another scientist/cosmologist that is able to express their viewpoint with as much humility and empathy within their explanations""","=""https://www.instagram.com/_jonathanlynch""","=""https://scontent-hkt1-2.cdninstagram.com/v/t51.2885-19/16790374_305109736571991_8970250299633565696_a.jpg""","=""23/03/2022, 10:41:28"""
"=""16434689""","=""echobee""","=""18043941568322674""","=""❤️""","=""https://www.instagram.com/echobee""","=""https://scontent-hkt1-2.cdninstagram.com/v/t51.2885-19/11325751_980826525303660_542033236_a.jpg""","=""23/03/2022, 10:46:15"""
"=""51103088145""","=""thegrapeobsessedpoet""","=""18022888963364044""","=""Beautiful""","=""https://www.instagram.com/thegrapeobsessedpoet""","=""https://scontent-hkt1-2.cdninstagram.com/v/t51.2885-19/277563270_3079640402309155_7225358260435624265_n.jpg""","=""23/03/2022, 10:51:00"""
"=""4126763726""","=""chanti_wanderer""","=""17957804752651674""","=""👏👏👏👏🙌""","=""https://www.instagram.com/chanti_wanderer""","=""https://scontent-hkt1-2.cdninstagram.com/v/t51.2885-19/185509140_1302010526866992_2068977102348306231_n.jpg""","=""23/03/2022, 10:56:00"""
"=""1292828684""","=""bonnielcorley""","=""18018137614373016""","=""SPECTACULAR!""","=""https://www.instagram.com/bonnielcorley""","=""https://scontent-hkt1-2.cdninstagram.com/v/t51.2885-19/228316468_527629828549241_6061281124596492054_n.jpg""","=""23/03/2022, 11:55:00"""
"=""8459122321""","=""gunnraven""","=""17933248462957701""","=""This is my favorite poem of your! It's the reason I read your books now.""","=""https://www.instagram.com/gunnraven""","=""https://scontent-hkt1-2.cdninstagram.com/v/t51.2885-19/38938383_1018008775027541_9109208254189142016_n.jpg""","=""23/03/2022, 12:27:45"""
"=""19715580444""","=""marniepersaud""","=""17913273503313418""","=""✨✨✨🖤✨✨""","=""https://www.instagram.com/marniepersaud""","=""https://scontent-hkt1-1.cdninstagram.com/v/t51.2885-19/267905490_332008148465771_6854753550275729300_n.jpg""","=""23/03/2022, 13:59:34"""
"=""228133049""","=""coolgirltot""","=""17936451709993298""","=""😍😍😍🔥👏🙌""","=""https://www.instagram.com/coolgirltot""","=""https://scontent-hkt1-1.cdninstagram.com/v/t51.2885-19/10611208_1000522313301481_1847240917_a.jpg""","=""23/03/2022, 14:14:31"""
