"=""User Id""","=""Username""","=""Comment Id""","=""Comment Text""","=""Profile URL""","=""Profile Pic URL""","=""Date"""
"=""50432181642""","=""thelazyadult""","=""17920163135189518""","=""https://www.amazon.com/dp/B08PZH15C9/ref=cm_sw_r_awdo_navT_g_C9W7A8ZS3DQ2JKB480AM
Here's an insight to what you'll find inside my book available on Amazon Kindle and Kobo.
I've written this book at the peak of lockdown and quarantine and so it emphasizes on all the emotion one was feeling, from intense anxiety, loss, anger, to uncertain happiness, ecstasy, hope along with few topics that speak of discrimination.""","=""https://www.instagram.com/thelazyadult""","=""https://scontent-hkt1-2.cdninstagram.com/v/t51.2885-19/254414633_1493569404355087_3274781063347846944_n.jpg""","=""03/02/2022, 07:13:24"""
"=""4579824836""","=""help_help_11""","=""17916522197250620""","=""Is any one of you incapable of reciting a third of the Qur'an in a night? They (the Companions) asked: How could one recite a third of the Qur'an (in a night)? Upon this he (the Holy Prophet) said: """"'Say: He is Allah, One' (Qur'an. cxii) is equivalent to a third of the Qur'an.""""""","=""https://www.instagram.com/help_help_11""","=""https://scontent-hkt1-2.cdninstagram.com/v/t51.2885-19/74843424_820390401737079_6033107467968184320_n.jpg""","=""03/02/2022, 09:59:10"""
"=""536573147""","=""giuggiolotti""","=""17993877253418380""","=""@chiccamuscaritoli ti ho pensata""","=""https://www.instagram.com/giuggiolotti""","=""https://scontent-hkt1-2.cdninstagram.com/v/t51.2885-19/274691230_627803758513680_4095842482725700814_n.jpg""","=""03/02/2022, 11:47:32"""
"=""204502176""","=""medicadavida""","=""18122044756271535""","=""@paulafurtadodermato""","=""https://www.instagram.com/medicadavida""","=""https://scontent-hkt1-1.cdninstagram.com/v/t51.2885-19/56927489_2131711176865441_8472097096172830720_n.jpg""","=""03/02/2022, 19:14:03"""
"=""26717751539""","=""i_am_royalty.yesh""","=""17946301210657823""","=""I have always been very happy soul all through my life until the day my partner left me, then I thought loving was if it brings along so many pains and heartbreaks.  I couldn't let go of my partner because on a post that directed me to contact @spiritual_prophet_eden he helped me to restore my relationship and bound with my partner within 7days and today we love each other just the way it used to be, what can I say ?? Thank you  @spiritual_prophet_eden Reply""","=""https://www.instagram.com/i_am_royalty.yesh""","=""https://scontent-hkt1-2.cdninstagram.com/v/t51.2885-19/271475745_2186470818187080_3382166148198024194_n.jpg""","=""04/02/2022, 07:33:18"""
"=""30802597606""","=""presentcentered""","=""18165680923203921""","=""Indeed!!! 😍😍😍😍""","=""https://www.instagram.com/presentcentered""","=""https://scontent-hkt1-1.cdninstagram.com/v/t51.2885-19/106727420_2682516788697974_303489799555616306_n.jpg""","=""04/02/2022, 12:57:19"""
"=""51516966760""","=""love_marina_poetry""","=""18280495792042433""","=""Hello, I really love this poem!❤️ to anyone reading this comment, I would love if you could follow me for more of my original poetry. I’m new here and I don’t really have a following yet. It would be cool if I could have some more exposure. Again, love this post and thank you to anyone who decides to interact with me❤️ I also really look up to Rupi Kaur and hope to see my work as big as hers one day😊""","=""https://www.instagram.com/love_marina_poetry""","=""https://scontent-hkt1-1.cdninstagram.com/v/t51.2885-19/274365161_120763010516036_6930800873304535456_n.jpg""","=""05/02/2022, 04:45:34"""
"=""51712922830""","=""warriorwomenquotes""","=""17917020791263136""","=""❤️❤️❤️🙌""","=""https://www.instagram.com/warriorwomenquotes""","=""https://scontent-hkt1-2.cdninstagram.com/v/t51.2885-19/259184909_359128929058495_3446035043005608143_n.jpg""","=""05/02/2022, 07:52:55"""
"=""44916914635""","=""aishah.luxbaraongles""","=""18152284195209259""","=""Such depth in your words, dissected & written to touch the depth of our souls @rupikaur_ !!!! You truly are an incredible talent 🔥🔥🔥""","=""https://www.instagram.com/aishah.luxbaraongles""","=""https://scontent-hkt1-2.cdninstagram.com/v/t51.2885-19/128961058_290001932404098_6167786290930938407_n.jpg""","=""05/02/2022, 13:05:29"""
"=""49973486588""","=""bambi70s""","=""17978696164472526""","=""I read Home Body yesterday. Incredible work.  I journeyed with you""","=""https://www.instagram.com/bambi70s""","=""https://scontent-nrt1-1.cdninstagram.com/v/t51.2885-19/44884218_345707102882519_2446069589734326272_n.jpg""","=""07/02/2022, 02:58:54"""
